code,prefecture,city_en,city_jp,sqm_per_person
82015,茨城県,Mito,水戸市,19
82023,茨城県,Hitachi,日立市,7.9
82031,茨城県,Tuchiura,土浦市,6.9
82040,茨城県,Furukawa,古河市,13.8
82058,茨城県,Ishioka,石岡市,4.9
82074,茨城県,Yuki,結城市,7.9
82082,茨城県,Ryugasaki,龍ケ崎市,14.6
82104,茨城県,Shimodsuma,下妻市,16.1
82112,茨城県,Joso,常総市,12.4
82121,茨城県,Hitachi-Ota,常陸太田市,11
82147,茨城県,Takahagi,高萩市,8.5
82155,茨城県,Kitaibaraki,北茨城市,6.7
82163,茨城県,Kasama,笠間市,19.3
82171,茨城県,Toride,取手市,10
82198,茨城県,Ushiku,牛久市,5.6
82201,茨城県,Tsukuba,つくば市,9.5
82210,茨城県,Hitachinaka,ひたちなか市,20.7
82228,茨城県,Kashima,鹿嶋市,9.6
82236,茨城県,Itako,潮来市,11.4
82244,茨城県,Moriya,守谷市,14.6
82252,茨城県,Hitachi-Omiya,常陸大宮市,35
82261,茨城県,Naka,那珂市,12.6
82279,茨城県,Tikusei,筑西市,9.1
82287,茨城県,Bando,坂東市,9.6
82295,茨城県,Inashiki,稲敷市,5.1
82309,茨城県,Kasumigaura,かすみがうら市,13.6
82317,茨城県,Sakuragawa,桜川市,10.5
82325,茨城県,Kamisu,神栖市,25.8
82333,茨城県,Yukata,行方市,8.6
82341,茨城県,Hokota,鉾田市,8.8
82350,茨城県,Tsukubamiai,つくばみらい市,5
82368,茨城県,Komitama,小美玉市,6.8
83003,茨城県,Higashiibaraki,東茨城郡,19.6
83020,茨城県,Ibaraki-cho,東茨城郡茨城町,14.1
83097,茨城県,Oarai-cho,東茨城郡大洗町,40.2
83101,茨城県,Shirosato,東茨城郡城里町,4.5
83402,茨城県,Naka,那珂郡,9.9
83411,茨城県,Tokai,那珂郡東海村,9.9
83607,茨城県,Kuji,久慈郡,32.7
83640,茨城県,Daigo,久慈郡大子町,32.7
84409,茨城県,Inashiki,稲敷郡,10.466666666666667
84425,茨城県,Miho,稲敷郡美浦村,13.7
84433,茨城県,Ami,稲敷郡阿見町,7.5
84476,茨城県,Kawachi,稲敷郡河内町,10.2
85201,茨城県,Yuki,結城郡,8.6
85219,茨城県,Yachiyo,結城郡八千代町,8.6
85405,茨城県,Sashima,猿島郡,4.1499999999999995
85421,茨城県,Goka,猿島郡五霞町,8.1
85464,茨城県,Sakai,猿島郡境町,0.2
85600,茨城県,Kitasoma,北相馬郡,12.4
85642,茨城県,Tone,北相馬郡利根町,12.4
111007,埼玉県,Saitama,さいたま市,5.03
111015,埼玉県,Nishi,さいたま市西区,5.03
111023,埼玉県,Kita,さいたま市北区,5.03
111031,埼玉県,Omiya,さいたま市大宮区,5.03
111040,埼玉県,Minuma,さいたま市見沼区,5.03
111058,埼玉県,Chuo,さいたま市中央区,5.03
111066,埼玉県,Sakura,さいたま市桜区,5.03
111074,埼玉県,Urawa,さいたま市浦和区,5.03
111082,埼玉県,Minami,さいたま市南区,5.03
111091,埼玉県,Midori,さいたま市緑区,5.03
111104,埼玉県,Iwatsuki,さいたま市岩槻区,5.03
112011,埼玉県,Kawagoe,川越市,4.76
112020,埼玉県,Kumagaya,熊谷市,25.49
112038,埼玉県,Kawaguchi,川口市,3.28
112062,埼玉県,Gyoda,行田市,14.38
112071,埼玉県,Chichibu,秩父市,41.18
112089,埼玉県,Tokorozawa,所沢市,4.15
112097,埼玉県,Hanno,飯能市,17.86
112101,埼玉県,Kazo,加須市,15.13
112119,埼玉県,Honjo,本庄市,10.04
112127,埼玉県,Higashimatsuyama,東松山市,23.57
112143,埼玉県,Kasukabe,春日部市,3.88
112151,埼玉県,Sayama,狭山市,7.08
112160,埼玉県,Hanyu,羽生市,19.85
112178,埼玉県,Konosu,鴻巣市,5.93
112186,埼玉県,Fukaya,深谷市,6.86
112194,埼玉県,Ageo,上尾市,4.28
112216,埼玉県,Soka,草加市,2.02
112224,埼玉県,Koshigaya,越谷市,2.77
112232,埼玉県,Warabi,蕨市,1.85
112241,埼玉県,Toda,戸田市,9.85
112259,埼玉県,Iruma,入間市,3.67
112275,埼玉県,Asaka,朝霞市,2.16
112283,埼玉県,Shiki,志木市,4.29
112291,埼玉県,Wako,和光市,5.16
112305,埼玉県,Niiza,新座市,1.77
112313,埼玉県,Okegawa,桶川市,2.94
112321,埼玉県,Kuki,久喜市,7.41
112330,埼玉県,Kitamoto,北本市,10.54
112348,埼玉県,Yashio,八潮市,2.09
112356,埼玉県,Fujimi,富士見市,4.06
112372,埼玉県,Misato,三郷市,3.83
112381,埼玉県,Hasuda,蓮田市,3.44
112399,埼玉県,Sakado,坂戸市,4.44
112402,埼玉県,Satte,幸手市,11.19
112411,埼玉県,Tsurugashima,鶴ヶ島市,5.87
112429,埼玉県,Hidaka,日高市,7.43
112437,埼玉県,Yoshikawa,吉川市,7.75
112453,埼玉県,Fujimino,ふじみ野市,2.33
112461,埼玉県,Shiraoka,白岡市,7.13
113000,埼玉県,Kita-adachi,北足立郡,5.34
113018,埼玉県,Ina,北足立郡伊奈町,5.34
113204,埼玉県,Iruma,入間郡,5.946666666666666
113247,埼玉県,Miyoshi,入間郡三芳町,2.44
113263,埼玉県,Moroyama,入間郡毛呂山町,5.2
113271,埼玉県,Ogose,入間郡越生町,10.2
113409,埼玉県,Hiki,比企郡,41.99000000000001
113417,埼玉県,Namegawa,比企郡滑川町,144.49
113425,埼玉県,Arashiyama,比企郡嵐山町,6.59
113433,埼玉県,Ogawamachi,比企郡小川町,3.64
113468,埼玉県,Kawashima,比企郡川島町,8.58
113476,埼玉県,Yosimi,比企郡吉見町,122.9
113484,埼玉県,Hatoyama,比企郡鳩山町,5.98
113492,埼玉県,Tokigawa,比企郡ときがわ町,1.75
113603,埼玉県,Chichibu,秩父郡,51.370000000000005
113611,埼玉県,Yokoze,秩父郡横瀬町,1.64
113620,埼玉県,Minano,秩父郡皆野町,6.72
113638,埼玉県,Nagatoro,秩父郡長瀞町,0
113654,埼玉県,Ogano,秩父郡小鹿野町,145.75
113697,埼玉県,Higashichichibu,秩父郡東秩父村,0
113808,埼玉県,Kodama,児玉郡,32.980000000000004
113816,埼玉県,Misato,児玉郡美里町,0
113832,埼玉県,Kamikawa,児玉郡神川町,43.61
113859,埼玉県,Kamisato,児玉郡上里町,22.35
114006,埼玉県,Osato,大里郡,27.21
114081,埼玉県,Yorii,大里郡寄居町,27.21
114405,埼玉県,Minamisaitama,南埼玉郡,5.1
114421,埼玉県,Miyashiro,南埼玉郡宮代町,5.1
114600,埼玉県,Kitakatsushika,北葛飾郡,10.15
114642,埼玉県,Sugito,北葛飾郡杉戸町,4.49
114651,埼玉県,Matsubushi,北葛飾郡松伏町,15.81
121002,千葉県,Chiba,千葉市,10.15
121011,千葉県,Chuo,千葉市中央区,10.15
121029,千葉県,Hanamigawa,千葉市花見川区,10.15
121037,千葉県,Inage,千葉市稲毛区,10.15
121045,千葉県,Wakaba,千葉市若葉区,10.15
121053,千葉県,Midori,千葉市緑区,10.15
121061,千葉県,Mihama,千葉市美浜区,10.15
122025,千葉県,Choshi,銚子市,4.09
122033,千葉県,Ichikawa,市川市,3.65
122041,千葉県,Funabashi,船橋市,3.39
122050,千葉県,Tateyama,館山市,10.31
122068,千葉県,Kisarazu,木更津市,9.34
122076,千葉県,Matsudo,松戸市,3.44
122084,千葉県,Noda,野田市,12.59
122106,千葉県,Mobara,茂原市,5.73
122114,千葉県,Narita,成田市,9.92
122122,千葉県,Sakura,佐倉市,9.18
122131,千葉県,Togane,東金市,5.71
122157,千葉県,Asahi,旭市,10.33
122165,千葉県,Narashino,習志野市,6.72
122173,千葉県,Kashiwa,柏市,6.07
122181,千葉県,Katsuura,勝浦市,0
122190,千葉県,Ichihara,市原市,8.89
122203,千葉県,Nagareyama,流山市,5.17
122211,千葉県,Yachiyo,八千代市,5.41
122220,千葉県,Abiko,我孫子市,11.42
122238,千葉県,Kamogawa,鴨川市,0
122246,千葉県,Kamagaya,鎌ケ谷市,3.27
122254,千葉県,Kimitsu,君津市,11.6
122262,千葉県,Futtsu,富津市,51.3
122271,千葉県,Urayasu,浦安市,6.95
122289,千葉県,Yotsukaido,四街道市,7.13
122297,千葉県,Sodegaura,袖ケ浦市,12.73
122301,千葉県,Yachimata,八街市,0.83
122319,千葉県,Inzai,印西市,16.84
122327,千葉県,Shiroi,白井市,9.5
122335,千葉県,Tomisato,富里市,3.41
122343,千葉県,Minamiboso,南房総市,0
122351,千葉県,Sosa,匝瑳市,8.22
122360,千葉県,Katori,香取市,7.41
122378,千葉県,Sanmu,山武市,14.83
122386,千葉県,Isumi,いすみ市,9.14
122394,千葉県,Oamishirasato,大網白里市,2.44
123200,千葉県,Inba,印旛郡,10.44
123226,千葉県,Shisui,印旛郡酒々井町,10.34
123293,千葉県,Sakae,印旛郡栄町,10.54
123404,千葉県,Katori,香取郡,1.52
123421,千葉県,Kozaki,香取郡神崎町,0
123471,千葉県,Tako,香取郡多古町,1.52
123498,千葉県,Tonosho,香取郡東庄町,0
124001,千葉県,Sanbu,山武郡,1.5
124036,千葉県,Kujukuri,山武郡九十九里町,1.5
124095,千葉県,Shibayama,山武郡芝山町,0
124109,千葉県,Yokoshibahikari,山武郡横芝光町,0
124206,千葉県,Chosei,長生郡,5.6499999999999995
124214,千葉県,Ichinomiya,長生郡一宮町,3.64
124222,千葉県,Mutsuzawa,長生郡睦沢町,5.81
124231,千葉県,Chosei,長生郡長生村,7.5
124249,千葉県,Shirako,長生郡白子町,0
124265,千葉県,Nagara,長生郡長柄町,0
124273,千葉県,Chonan,長生郡長南町,0
124401,千葉県,Isumi,夷隅郡,0
124419,千葉県,Otaki,夷隅郡大多喜町,0
124435,千葉県,Onjuku,夷隅郡御宿町,0
124605,千葉県,Awa,安房郡,0
124630,千葉県,Kyonan,安房郡鋸南町,0
131016,東京都,Chiyoda,千代田区,3.871803796087557
131024,東京都,Chuo,中央区,3.3261751350128654
131032,東京都,Minato,港区,1.8886057768131397
131041,東京都,Shinjuku,新宿区,1.567105799682727
131059,東京都,Bunkyo,文京区,1.5590859990438328
131067,東京都,Taito,台東区,3.5314791796146676
131075,東京都,Sumida,墨田区,2.7183051431182017
131083,東京都,Koto,江東区,4.38618901963985
131091,東京都,Shinagawa,品川区,1.8008104976976584
131105,東京都,Meguro,目黒区,1.6620763093875215
